SimulationIndex,CaseIndex,ControllerIndex,SavedRunIndex,Strategy,VariantLabel,Frequency_Hz,RoadAmplitude_m,StopTime_s,TargetDt_s,SamplesSaved,SamplesPerCycle,RawMinSamplesPerCycle,SavedWindowStart_s,SavedWindowEnd_s,SteadyCheckSignal,SteadyAmplitudeChange_pct,SteadyPhaseChange_deg,Elapsed_s,Status,Message,RawOutputFile
1,1,1,1,Passive,Passive,0.5,0.052,36,0.002,12001,1000.08333333333,1999.99999999756,12,36,vd,2.01575660406405e-12,4.57999874130746e-13,4.0573408,SUCCESS,,
2,1,2,2,SHADD,SH_ADD,0.5,0.052,36,0.002,12001,1000.08333333333,1999.99999999756,12,36,vd,0.000417988309384092,0.000610273534440102,6.9397125,SUCCESS,,
3,2,1,3,Passive,Passive,0.7,0.0371428571428571,29.1428571428571,0.002,8572,714.369051785923,1428.57142856968,11.9991428571429,29.1411428571429,vd,1.57827785036895e-13,7.88777561002952e-13,3.744917,SUCCESS,,
4,2,2,4,SHADD,SH_ADD,0.7,0.0371428571428571,29.1428571428571,0.002,8572,714.369051785923,1428.57142856968,11.9991428571429,29.1411428571429,vd,0.00123963929548492,0.00129559438743375,6.5638452,SUCCESS,,
5,3,1,5,Passive,Passive,0.8,0.0325,27,0.002,7501,625.083333333333,1249.99999999847,12,27,vd,6.48495639393803e-13,1.27222187258541e-13,3.8518429,SUCCESS,,
6,3,2,6,SHADD,SH_ADD,0.8,0.0325,27,0.002,7501,625.083333333333,1249.99999999847,12,27,vd,0.000243361922123959,0.000641485328258693,5.6868387,SUCCESS,,
7,4,1,7,Passive,Passive,0.9,0.0288888888888889,25.3333333333333,0.002,6667,555.638897223056,1111.11111110975,11.9996666666667,25.3316666666667,vd,3.84221455131401e-12,7.12444248647828e-13,3.755922,SUCCESS,,
8,4,2,8,SHADD,SH_ADD,0.9,0.0288888888888889,25.3333333333333,0.002,6667,555.638897223056,1111.11111110975,11.9996666666667,25.3316666666667,vd,0.0152093304469382,0.000491159463833925,5.5040911,SUCCESS,,
9,5,1,9,Passive,Passive,1,0.026,24,0.002,6001,500.083333333333,999.999999998778,12,24,vd,9.47827936754486e-12,1.27222187258541e-12,3.8091754,SUCCESS,,
10,5,2,10,SHADD,SH_ADD,1,0.026,24,0.002,6001,500.083333333333,999.999999998778,12,24,vd,0.00355212029338791,0.000215287101429875,5.377062,SUCCESS,,
11,6,1,11,Passive,Passive,1.1,0.0236363636363636,22.9090909090909,0.002,5455,454.628796212955,909.090909089798,11.9999090909091,22.9079090909091,vd,5.02981419283783e-12,1.5775551220059e-11,3.764247,SUCCESS,,
12,6,2,12,SHADD,SH_ADD,1.1,0.0236363636363636,22.9090909090909,0.002,5455,454.628796212955,909.090909089798,11.9999090909091,22.9079090909091,vd,0.0582891876148932,0.0162242736780581,5.4836521,SUCCESS,,
13,7,1,13,Passive,Passive,1.2,0.0216666666666667,22,0.002,5001,416.75,833.333333332315,12,22,vd,5.40366611342573e-11,1.98466612123323e-12,3.5730441,SUCCESS,,
14,7,2,14,SHADD,SH_ADD,1.2,0.0216666666666667,22,0.002,5001,416.75,833.333333332315,12,22,vd,0.00062477791824005,0.000908287316910941,5.7359971,SUCCESS,,
15,8,1,15,Passive,Passive,1.4,0.0185714285714286,20.5714285714286,0.002,4286,357.226204367395,714.28571428611,11.9995714285714,20.5695714285714,vd,5.1813857322789e-12,5.8318650639315e-11,3.5388894,SUCCESS,,
